HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
6.8,7.4,1011,10.6
5.2,6.7,1011,16
12.5,19.4,1011,15.1
6,7.5,1011,15.8
5.8,8.1,1011,15.8
7.3,5.7,1011,12.5
2.1,2,1011,13.5
1.9,1.4,1011,14.9
1.4,0.5,1011,13.5
1.5,9,1011,13.5
1.7,1.3,1011,13.5
1.5,0.8,1011,14.9
1.6,1,1011,14.9
9,10.9,1011,13.5
9.1,13.4,1011,14.9
6.5,8.6,1011,14.9
8.1,12.7,1011,14.9
7.8,12.7,1011,14.9
4.2,5.4,1011,16
8,11.5,1011,14.9
8.5,7.3,1011,14.9
5.4,6.2,1011,16
4.3,5.3,1011,12
6.2,8.7,1011,15.7
7.2,12.4,1011,11.4
15.7,21,1011,16
14.6,21.9,1011,14.6
7.3,10.5,1011,11.4
6.2,9.3,1011,15.7
9.3,10.5,1011,12
4.3,5.6,1011,14.6
2.7,5.4,1167,8.6
4.8,6.2,1167,8.1
7,11.6,1167,8.7
5,9,1167,8.1
8.5,14.5,1167,8.6
4.9,6.7,1167,8.7
5.7,10.2,1167,9
6.3,11.1,1167,9
5.5,7.1,1167,8.1
3.6,7,1167,8.6
5.9,6.8,1167,8.1
7.3,12.6,1167,8.1
4.9,5.8,1167,8.7
6.3,7.2,1167,8.1
5.5,7.3,1167,8.6
8.7,17.1,1167,8.7
8.1,15.7,1167,8.1
7.5,8.4,1167,8.1
5.6,6.7,1167,8.1
8.6,12.8,1167,8.7
5.8,7.5,1167,8.1
7.8,12.7,1167,9
6.9,8.8,1167,8.1
7.5,11.9,1167,8.7
6.9,10.6,1167,8.7
4.6,5.5,1167,8.1
4.7,5.8,1167,8.1
5.3,5.7,1167,8.1
5.3,5.7,1167,8.7
4.6,5.7,1167,8.1
4.5,7.8,1167,8.6
2.2,2.5,1167,8.9
6.3,14.2,1167,8.9
4.7,7.7,1167,8.9
8.4,11.3,1167,9
7.1,11.7,1167,9
6.1,8.1,1167,8.9
